Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B,NASA Elev,GEDI Elev,Elev Loss,GEDI Qual. Flag,B5 Value,B6 Value,Center Lon,Center Lat,Elevation Score,Band Variation Score,Status
26.96739385,-10.4049347,26.96968078,-10.40268551,29.46307562,31.12761826,34.82545676,0.359108778,0.606626831,981.504956,-5991.186885,-6966.509944,0.557044255,0.145906277,0.178419182,26.96853731,-10.4038101,3,7,Pass,Pass
27.04733606,-10.39143953,27.04962299,-10.38919034,13.36538386,20.28189401,11.28860416,0.380649334,0.575007637,940.2335807,3591.941183,2658.024311,-999,0.13398951,0.172699657,27.04847953,-10.39031494,5,4,Pass,Fail
27.04962299,-10.39143953,27.05190993,-10.38919034,46.87119428,59.8040125,18.19854389,0.313946688,0.540793752,940.2488648,936.9393158,3.250752453,0.46237534,0.155489808,0.18328328,27.05076646,-10.39031494,4,5,Pass,Fail
27.02446673,-10.39368873,27.02675367,-10.39143953,20.46859575,20.34321203,21.9099343,0.313573999,0.561078892,943.0484728,943.2275136,6.295597703,1,0.136335862,0.157895661,27.0256102,-10.39256413,5,2,Pass,Fail
26.99702354,-10.4049347,26.99931047,-10.40268551,19.59525257,34.62015569,14.04047726,0.305685139,0.567530232,952.8152722,951.9239978,6.873191771,1,0.140309599,0.160140641,26.99816701,-10.4038101,5,6,Pass,Fail
27.015319,-10.40718389,27.01760593,-10.4049347,31.28536948,23.71330875,20.95594245,0.344276055,0.569020517,949.9809034,950.8800534,7.830041324,0.761029412,0.137702145,0.167584158,27.01646247,-10.4060593,5,4,Pass,Fail
27.00617127,-10.41168228,27.0084582,-10.40943309,49.04067984,41.60554736,35.93940464,0.315295628,0.553234806,952.5271468,1761.800687,814.6284637,0.299647474,0.136361026,0.156326784,27.00731474,-10.41055769,4,2,Pass,Pass
26.98558888,-10.41393148,26.98787581,-10.41168228,65.07129108,69.73067857,20.9835139,0.378921129,0.538214146,956.9417658,955.6807625,4.534275672,0.473503097,0.160607262,0.200274101,26.98673234,-10.41280688,5,7,Pass,Fail
26.98787581,-10.41618067,26.99016274,-10.41393148,30.0842014,30.02465793,32.92290513,0.34461,0.550021471,957.199845,957.8981982,6.081873474,1,0.152926789,0.174641539,26.98901927,-10.41505608,3,6,Pass,Pass
26.99016274,-10.41618067,26.99244967,-10.41393148,29.31730601,16.789293,25.09754157,0.329996223,0.547593602,956.5748712,-999,-999,-999,0.125735193,0.146577798,26.99130621,-10.41505608,4,4,Pass,Pass
27.00617127,-10.42292826,27.0084582,-10.42067906,0,30.33106294,15.4687824,0.361458748,0.559536374,961.3558618,957.6422729,7.022766113,1,0.144053191,0.176177735,27.00731474,-10.42180366,5,4,Pass,Fail
27.01303207,-10.4454202,27.015319,-10.44317101,21.06914568,15.13485496,15.0166106,0.372424191,0.601202401,978.5425108,3819.818729,2846.124054,-999,0.124937026,0.153274805,27.01417554,-10.44429561,3,3,Pass,Fail
26.43275375,-10.45218771,26.43504134,-10.44993851,97.04768603,96.97021002,49.93809594,0.326622383,0.620828425,1123.689268,4415.398791,3296.619939,0.357427717,0.196032625,0.220638606,26.43389755,-10.45106311,2,3,Pass,Pass
26.43275375,-10.4544369,26.43504134,-10.45218771,25.04622807,24.93177889,24.99116541,0.376714105,0.634663991,1133.863838,4497.127696,3368.987442,0.157601978,0.153211115,0.183262737,26.43389755,-10.4533123,0,3,Pass,Fail
26.43275375,-10.45668609,26.43504134,-10.4544369,28.23669302,28.05577547,12.90077105,0.41374017,0.645582209,1130.463924,1121.779449,-0.026089559,0.594622192,0.1414391,0.177222412,26.43389755,-10.4555615,2,1,Pass,Fail
26.43732894,-10.46793207,26.43961653,-10.46568287,91.17647059,64.74892203,14.23496082,0.385344481,0.633160838,1104.88515,3844.057813,2742.603402,0.540887226,0.158411991,0.193540619,26.43847273,-10.46680747,3,7,Pass,Fail
26.27745111,-10.47243046,26.2797387,-10.47018126,20.29526603,20.2149888,25.4598425,0.428018881,0.606250027,1378.548262,549.424195,-824.0594518,0.148082745,0.150966962,0.188196967,26.27859491,-10.47130586,2,5,Pass,Pass
